,date,tic,open,high,low,close,adjcp,volume,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,open_r,high_r,low_r,close_r,volume_r
3272,2021/1/4,AAPL,133.5200043,133.6100006,126.7600021,129.4100037,127.8749542,143301900,0.557697023,0.260746645,0.26091283,0.56549621,0.564178159,0.084362244,0.260769316,0.260466085,0.639435431,0.315059933,0.391847042,0.411912473,0.566296278
3272,2021/1/4,AMGN,231.25,231.25,223.6699982,226.6600037,214.5945435,3088200,0.389568284,0.44643907,0.492930912,0.476740232,0.537826025,0.01081945,0.477580184,0.498911507,0.63639042,0.307594592,0.503788747,0.456877574,0.602483087
3272,2021/1/4,AXP,121.3000031,121.8000031,116.8499985,118.0400009,115.1858063,3472100,0.451246865,0.236245313,0.250390689,0.546876908,0.510620138,0.036182334,0.248646239,0.239852694,0.619830646,0.317837325,0.46289667,0.4161041,0.638364429
3272,2021/1/4,BA,210,210.1999969,202.4900055,202.7200012,202.7200012,21225600,0.466653805,0.463518182,0.455923047,0.502087572,0.419650046,0.127083415,0.466249696,0.423590678,0.476226205,0.152824397,0.332001652,0.291371254,0.642585987
3272,2021/1/4,CAT,183,185.9799957,180.25,182.1499939,174.3249207,4078300,0.498843856,0.34914585,0.390507493,0.590747802,0.620536484,0.349237105,0.374069893,0.372121771,0.633797972,0.411380378,0.61542273,0.520410403,0.678789921
3272,2021/1/4,CRM,222.6399994,223.75,215.7200012,220.3099976,220.3099976,10319900,0.216612434,0.441834617,0.485272435,0.43108927,0.46552809,0.367572801,0.489761099,0.528649383,0.602157078,0.305630693,0.481926102,0.474805839,0.605264635
3272,2021/1/4,CSCO,44.31000137,44.36999893,43.34999847,43.95999908,41.74375916,24392500,0.439058047,0.081388679,0.092705578,0.558908239,0.517687737,0.080842441,0.087348184,0.084379624,0.535333571,0.214822819,0.477563173,0.442054083,0.591372557
3272,2021/1/4,CVX,85.15000153,85.94999695,83.88999939,84.70999908,78.29350281,9234900,0.39827489,0.176909461,0.177714725,0.505019441,0.447722161,0.006030109,0.182926849,0.173874788,0.652595974,0.385427304,0.635200153,0.530497779,0.505508094
3272,2021/1/4,DIS,182.2599945,182.5899963,174.7299957,177.6799927,177.6799927,13426600,0.769642157,0.361435734,0.331829289,0.673352866,0.579427047,0.435708854,0.341320875,0.315736584,0.637531278,0.320576333,0.449973065,0.434954865,0.628040133
3272,2021/1/4,GS,267,267.5799866,260.1600037,265,255.3979645,3572000,0.807060079,0.514105927,0.512195333,0.676979694,0.6298242,0.691040988,0.514653468,0.491221978,0.679689043,0.365368315,0.591525217,0.538231964,0.609390579
3272,2021/1/4,HD,266.0100098,266.4400024,261.0599976,263.9200134,253.700592,5002000,0.344740685,0.52592983,0.580162891,0.446424284,0.441155317,0.274905435,0.569597185,0.600130615,0.608459784,0.290065479,0.567831163,0.490061498,0.630401266
3272,2021/1/4,HON,212.8399963,213.0099945,206.3600006,207.9499969,200.3127594,2328900,0.51277981,0.411076958,0.460741254,0.57624011,0.511155782,0.018066734,0.441847167,0.4248334,0.603217557,0.279475142,0.48701178,0.422096761,0.597075955
3272,2021/1/4,IBM,120.3154907,120.3824081,117.6290665,118.4894867,107.482872,5417443,0.44438542,0.229839768,0.257843752,0.52027895,0.527551948,0.084777782,0.247231953,0.248637178,0.597416294,0.272069025,0.533343261,0.451619058,0.566794511
3272,2021/1/4,INTC,49.88999939,51.38999939,49.40000153,49.66999817,46.56639099,46102500,0.416411287,0.096058666,0.096566315,0.518033571,0.559467413,0.302304345,0.097616169,0.100455677,0.608050393,0.474788627,0.623696052,0.504519615,0.591158263
