Unnamed: 0,date,tic,close,high,low,open,volume,close_r,open_r,high_r,low_r,volume_r,label,close_price
756,2023/1/3,AAPL,-0.377056838,-0.357157509,-0.372149475,-0.350911936,4.508521596,0.962595296,1.01456269,1.007310481,0.97441731,1.455424993,0.958289095,125.0699997
756,2023/1/3,ADBE,0.677229165,0.69853069,0.676084335,0.69382857,-0.428005438,1.00115893,1.021501512,1.027269464,1.000844285,1.280429663,1.008745727,336.9200134
756,2023/1/3,ADI,-0.191032739,-0.183763714,-0.184098087,-0.175245362,-0.287779543,0.990367604,1.019770921,1.012426859,1.004229957,2.763801408,1.012634322,162.4499969
756,2023/1/3,ADP,0.183254975,0.186159376,0.188422242,0.199184618,-0.457921877,0.994976149,1.004547336,1.005453778,0.996695621,1.678304239,0.991035097,237.6600037
756,2023/1/3,ADSK,-0.07806466,-0.05231841,-0.075313891,-0.050551555,-0.493387182,0.990795734,1.031605132,1.032202868,0.999617593,1.117352246,0.998937091,185.1499939
756,2023/1/3,AEP,-0.527349177,-0.532073975,-0.527454567,-0.527026456,-0.450388153,0.999157512,0.989572471,0.991777676,0.992771337,1.33103252,0.998223369,94.87000275
756,2023/1/3,AMAT,-0.518092757,-0.508840212,-0.513679927,-0.502784598,-0.197537133,0.993325181,1.043619228,1.026056557,1.011470104,1.738039331,1.021497596,96.73000336
756,2023/1/3,AMD,-0.680876331,-0.671624058,-0.677814926,-0.670884858,2.35720691,0.988420564,1.034969414,1.031780277,1.007127031,1.261933364,1.002169979,64.01999664
756,2023/1/3,AMGN,0.302642793,0.289753621,0.307499529,0.299138834,-0.405179564,0.996230503,0.992920429,0.997606637,0.997533757,1.599753391,1.001780847,261.6499939
756,2023/1/3,AMZN,-0.572387133,-0.572990987,-0.573773634,-0.574016892,4.220614693,1.021666663,1.028152024,1.0346222,1.021098555,1.229239181,0.99870967,85.81999969
756,2023/1/3,ANSS,0.18813199,0.218676901,0.190591834,0.221485213,-0.53686058,0.987789242,1.023194683,1.026178667,0.989172394,1.512628625,1.022689957,238.6399994
756,2023/1/3,ASML,1.735496324,1.770968843,1.755096562,1.794519641,-0.525001362,1.005801579,1.037754769,1.032334293,1.016766957,0.960039818,1.035293944,549.5700073
756,2023/1/3,AVGO,1.754954571,1.787767817,1.780425514,1.813036908,-0.441225346,0.989894972,1.023884586,1.014151671,1.005072842,1.403241514,1.014137533,553.4799805
756,2023/1/3,AZN,-0.654450729,-0.65909843,-0.652536229,-0.657693683,-0.350308833,1.022566353,1.012686246,1.020279165,1.021897829,0.963526932,1.022359467,69.33000183
756,2023/1/3,BIIB,0.357285565,0.365398469,0.375716812,0.378086807,-0.499085849,0.984508131,1.006364099,1.003066953,1.000698025,1.70173248,0.970088816,272.6300049
756,2023/1/3,BKNG,4.333247205,4.335378771,4.332311543,4.334035509,-0.550479956,1.008400784,1.030081451,1.015563057,1.013938294,1.356888663,1.070463358,2032.209961
756,2023/1/3,BKR,-0.856399868,-0.852582307,-0.854614497,-0.853370973,-0.158245669,0.973586161,1.015224932,1.016238209,0.98994449,1.720822717,0.95841921,28.75
756,2023/1/3,CCEP,-0.728949958,-0.72668763,-0.726354071,-0.723500193,-0.49212636,0.982646437,1.003439512,1.003786496,0.982523228,1.469193154,1.012552276,54.36000061
756,2023/1/3,CDNS,-0.205016883,-0.19457011,-0.20397796,-0.188884559,-0.5051715,0.9937749,1.018196621,1.020217729,0.99425539,1.342710306,0.986249605,159.6399994
756,2023/1/3,CDW,-0.106132501,-0.110967763,-0.100340348,-0.106402467,-0.534975589,1.005207709,1.00476052,1.012982694,1.008839515,1.525458851,1.016896792,179.5099945
756,2023/1/3,CHTR,0.700419839,0.697106166,0.702624348,0.703286357,-0.472009381,1.007313419,1.017127594,1.016653437,1.006567501,1.26797005,1.060134121,341.5799866
756,2023/1/3,CMCSA,-0.822459676,-0.825320682,-0.823381913,-0.825495306,0.879392251,1.017157519,1.00373448,1.017438554,1.006081752,1.506249147,1.04126354,35.56999969
756,2023/1/3,COST,1.256302547,1.253488928,1.261278693,1.280412401,-0.44367209,0.992946328,1.007368319,1.004598151,0.993677191,1.096994232,0.986836709,453.2799988
756,2023/1/3,CPRT,-0.846546265,-0.847670302,-0.845355725,-0.846576279,-0.337681886,1.009361138,1.010199028,1.014213409,1.00879812,0.827190495,1.024293526,30.72999954
756,2023/1/3,CRWD,-0.48549626,-0.467382877,-0.485439425,-0.464306194,-0.35195664,0.980909848,1.038647343,1.021405659,0.987639625,1.094826765,1.023286597,103.2799988
756,2023/1/3,CSCO,-0.760899534,-0.764117104,-0.759958097,-0.761182131,0.538820465,1.006297213,1.012481492,1.007971493,1.007667745,1.342361248,1.001474299,47.93999863
