,everyday_assets,rewards,daily_return
0,1000000.0,0.0,1.0
1,1026171.8074140351,26171.80741403508,1.0261718074140351
2,1020347.9764054107,-5823.831008624402,0.9943247018028096
3,1036608.0677695753,16260.091364164604,1.015935829481867
4,937169.332377982,-99438.7353915933,0.9040729679004416
5,932816.1902805187,-4353.142097463249,0.9953550100850851
6,929963.1973523769,-2852.9929281418445,0.9969415272184717
7,942959.1071712917,12995.909818914835,1.0139746495946447
8,946673.8430368564,3714.7358655646676,1.0039394453453112
9,943408.5924902313,-3265.250546625117,0.9965508178232215
10,931143.9840258635,-12264.608464367804,0.9869996854364088
11,923445.8323091356,-7698.15171672788,0.9917325871736352
12,906960.0150533277,-16485.817255807924,0.9821474994211798
13,882754.7300623263,-24205.28499100136,0.9733116294111619
14,884237.1597244577,1482.4296621313551,1.0016793222529963
15,890363.911322766,6126.7515983083285,1.0069288556027407
16,892336.4063292056,1972.4950064396253,1.0022153806790184
17,888053.4045804465,-4283.001748759067,0.995200238701032
18,906931.1139571455,18877.709376698942,1.0212574033040474
19,920850.3639358481,13919.249978702632,1.01534763750465
20,906220.0894382381,-14630.274497610051,0.9841122129386167
21,897088.8935551184,-9131.195883119712,0.9899238650858203
22,894806.7881131535,-2282.1054419648135,0.9974560988789852
23,907762.3029805433,12955.514867389807,1.0144785612262828
24,899336.093003488,-8426.209977055318,0.9907176031110911
25,890731.8842710807,-8604.208732407307,0.9904327105301955
26,873072.5123032173,-17659.371967863408,0.9801743125179416
27,901659.8056944712,28587.293391253916,1.0327433208449535
28,888624.0505156716,-13035.75517879962,0.985542490530828
29,888928.8633599461,304.81284427444916,1.0003430166492766
30,910900.7860578354,21971.922697889386,1.024717301466442
31,918989.6785853824,8088.892527546966,1.0088801026976317
32,918989.6875,0.008914617588743567,1.0000000097004544
33,918090.3701418185,-899.3173581814626,0.999021406474508
34,913319.4406747925,-4770.929467026028,0.994803420641163
35,867698.623022444,-45620.817652348545,0.9500494398557395
36,872529.3691120079,4830.746089563938,1.0055673086961197
37,898711.79068548,26182.421573472093,1.0300074960228771
38,891009.4486828138,-7702.342002666206,0.9914295749955707
39,856377.3447617193,-34632.103921094444,0.9611316086801421
40,845303.4751488675,-11073.869612851879,0.9870689367478152
41,878725.618570587,33422.14342171955,1.0395386324607663
42,902664.9290268313,23939.310456244275,1.0272432144349974
43,945196.5150776746,42531.586050843354,1.0471178005073232
44,943264.7841417535,-1931.730935921194,0.9979562652791177
45,940722.6962110116,-2542.0879307418363,0.9973050113038463
46,936150.2381492079,-4572.458061803714,0.9951394198521835
47,940982.9149166867,4832.676767478813,1.0051622876014359
48,951703.8974152978,10720.98249861109,1.0113933869878609
49,943133.6800791225,-8570.217336175265,0.9909948699806201
50,904971.2502182812,-38162.42986084137,0.9595365634088693
51,894611.187537766,-10360.062680515228,0.9885520532525024
52,932731.6804947127,38120.49295694672,1.0426112410486008
53,927629.1030364241,-5102.577458288521,0.9945294262380129
54,918725.8873855079,-8903.215650916216,0.9904021816243441
55,910896.0357472275,-7829.851638280437,0.9914774888290538
56,962024.0611354524,51128.025388224865,1.0561293752324692
57,973310.8195484553,11286.758413002943,1.0117323036595172
58,965305.6240227927,-8005.195525662624,0.9917752938065802
59,981626.505797466,16320.881774673355,1.0169074761075751
60,982614.6907705537,988.1849730876274,1.001006681224734
61,1013032.6813141087,30417.990543555003,1.0309561731869707
62,1014067.474007928,1034.792693819385,1.0010214800696036
63,1019477.0138357413,5409.539827813278,1.0053344969308926
64,1012587.006147176,-6890.007688565296,0.9932416252695665
65,1001313.4340699691,-11273.572077206918,0.9888665645433254
66,973128.7197604475,-28184.7143095216,0.9718522558965766
67,967307.7499978376,-5820.969762609922,0.9940182941429959
68,972638.3910483273,5330.641050489736,1.0055108015525582
69,985143.7467948103,12505.355746482965,1.0128571480023572
70,997950.4535177635,12806.70672295324,1.0129998355718342
71,984854.4757798002,-13095.977737963316,0.9868771263224541
72,950891.9096902151,-33962.566089585074,0.96551514266847
73,952106.9993096682,1215.089619453065,1.0012778419997799
74,964472.0586718161,12365.059362147935,1.0129870480640446
75,983771.9707875315,19299.912115715328,1.0200108566569501
76,996182.5711189378,12410.600331406342,1.0126153221477447
77,1011769.464703886,15586.89358494815,1.0156466234572248
78,979103.6144984824,-32665.85020540352,0.9677141371182181
79,970831.0247947971,-8272.589703685371,0.9915508536776031
80,959997.0592544549,-10833.96554034215,0.9888405239803373
81,923888.3808707792,-36108.67838367575,0.9623866781303286
82,895727.255268342,-28161.125602437183,0.9695189092259231
83,891641.5039768363,-4085.751291505643,0.9954386212237322
84,904502.0014121699,12860.497435333556,1.0144233948038244
85,911413.4468949066,6911.445482736686,1.007641161072
86,911656.4995574036,243.0526624970371,1.0002666766255481
87,897264.5535157238,-14391.946041679825,0.984213411467294
88,883179.75736167,-14084.796154053765,0.984302515797748
89,886687.0819674828,3507.3246058127843,1.0039712465968313
90,898912.5639150164,12225.481947533553,1.0137878200733523
91,890745.8043952427,-8166.759519773652,0.990914845505991
92,886834.0239674958,-3911.7804277469404,0.9956084211584889
93,889997.7050903701,3163.6811228743754,1.0035673880764304
94,903359.3101381205,13361.605047750403,1.0150130780914695
95,902561.7351100814,-797.5750280391658,0.9991171010038993
96,890421.4367868631,-12140.298323218245,0.9865490660073933
97,894279.5009534335,3858.064166570315,1.0043328518465282
98,893156.5902304682,-1122.9107229652582,0.998744340307736
99,888664.8160400463,-4491.774190421915,0.9949708995717504
100,900655.2171221323,11990.401082086028,1.013492602458952
