,tic,date,close,open,high,low,prev_close,adjfactor,turnover,volume,adjcp,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,prev_adjfactor,open_r,high_r,low_r,close_r,turnover_r,volume_r
3162,600010.SH,2021-01-04,1.18,1.17,1.18,1.16,1.17,8.39390276,345535105.0,294106353.0,9.904805257,0.4157034263314318,0.0001580308105642,0.0347466020192033,0.5037443077,0.4778012684999727,0.100941990616137,0.0002211069948528,0.000173732153443,8.39390276,0.5158929310634822,0.509750112955372,0.4837882804581468,0.5125652076817453,0.4046979381252191,0.5986056974276234
3162,600028.SH,2021-01-04,4.03,4.03,4.05,3.99,4.03,3.3048626,442267974.0,110052440.0,13.31859628,0.4148735141042886,0.0058084748518816,0.0414440530252916,0.4868874948,0.4663796262349733,0.119615247369153,0.006843715819381,0.0069190206128877,3.3048626,0.5158929310634822,0.4938766966953293,0.4769151851745168,0.4746432941774795,0.431970366612643,0.5886560848249075
3162,600030.SH,2021-01-04,29.18,29.44,29.49,28.7,29.4,5.56775365,5663123706.0,194546207.0,162.4670515,0.4048109045564024,0.0556436726588936,0.0977793431054417,0.4943804749,0.4929009864099717,0.1216076961224792,0.0639968451342381,0.0669269714059671,5.56775365,0.5225175901491451,0.4854323133144098,0.4071547943284941,0.4411752136662471,0.7186013072275267,0.5588909043700078
3162,600031.SH,2021-01-04,34.8,35.25,36.01,34.4,34.98,48.25649106,3603293523.0,102758557.0,1679.325889,0.473612385666447,0.0654031216849506,0.1029683703768156,0.6668422653,0.6007681359499656,0.5344133238445786,0.0700522993582668,0.0668805904393387,48.25649106,0.5533573863144827,0.6011937035973652,0.44359812392809,0.4516554630272728,0.6674768536405884,0.6092580679994691
3162,600036.SH,2021-01-04,43.17,43.23,43.78,42.02,43.95,5.06077065,6608868849.0,154952285.0,218.473469,0.4077327746862014,0.0844336361127683,0.1317974003812869,0.5198678587,0.4635965448549735,0.0671136557881103,0.0977323205803464,0.0983465494239285,5.06077065,0.4354103812838661,0.4545249894784753,0.3043628087226149,0.3948541521521029,0.7360747069778635,0.6131190158246371
3162,600048.SH,2021-01-04,15.29,15.68,15.68,15.18,15.82,21.65785459,1889996643.0,123298817.0,331.1485967,0.4042223715303644,0.029745278002332,0.0685626422349785,0.4150049817,0.4405200612999748,0.2401051147610619,0.0346206606563999,0.0356921312147863,21.65785459,0.4725820943298339,0.4321722094864658,0.322198756704346,0.3228077897302152,0.5946334271199489,0.6115962646937372
3162,600104.SH,2021-01-04,23.55,24.0,24.0,23.39,24.44,9.73485481,2808084237.0,118844998.0,229.2558308,0.4070003442138942,0.0464870404287413,0.086960016876011,0.4920990578,0.4560643564349739,0.0235953328843349,0.053845610972564,0.0545743008007951,9.73485481,0.4273738925686429,0.3908037980105918,0.3092747168476848,0.3093540796011071,0.6393078288754674,0.5987126117854049
3162,600111.SH,2021-01-04,13.45,13.01,13.63,13.0,13.09,19.63886581,1947594249.0,145668544.0,264.1427451,0.4225561944315997,0.0240303863158063,0.0594767896552323,0.5609592663,0.5274443784249698,0.1778815424836377,0.0268296679432067,0.0258939521557369,19.63886581,0.4860234909028104,0.6520415409542588,0.4921093070113037,0.5955314308952538,0.5980178683433488,0.5872795111800737
3162,600196.SH,2021-01-04,52.97,52.99,53.18,52.04,53.99,14.20375723,2593916729.0,49330507.0,752.3730205,0.4019772615036188,0.1113121901468078,0.1545620284956831,0.4856310739,0.4638188967199734,0.1586609047643155,0.1213188335347044,0.1269475001082878,14.20375723,0.4247996643590358,0.4044062762997892,0.344476779863807,0.3896572933534756,0.6303503370584481,0.5421829963979585
3162,600276.SH,2021-01-04,111.2,111.99,113.69,111.0,111.46,53.37844336,4072713009.0,36342265.0,5935.682902,0.6874143669449806,0.2305090906839874,0.230214398629105,0.6516259149,0.5515317877499685,0.517826681393919,0.2182522915213565,0.2174599871658318,53.37844336,0.5390067936217449,0.5601276362770764,0.5057608533588441,0.4642372245491327,0.6813189398559386,0.5886528610897938
3162,600309.SH,2021-01-04,94.12,90.3,95.19,90.0,91.04,37.97969779,1938645348.0,20779108.0,3574.649156,0.5104829171513903,0.178818818305954,0.2207734942178756,0.6110945436,0.5869663219499663,0.514133620249138,0.1924554658342055,0.196605053593225,37.97969779,0.4761264909810306,0.6705503121629665,0.4694357194184402,0.6228947843066007,0.5974986166265942,0.5654266998034176
3162,600346.SH,2021-01-04,28.45,27.68,28.7,27.18,27.97,9.94919602,1265891996.0,45299379.0,283.0546268,0.4660330866922774,0.0542781026111093,0.0869511752352684,0.6629155454000001,0.5712980028499673,0.3627757922044047,0.0566798694792264,0.0534886713743101,9.94919602,0.4651105590953314,0.586678342438857,0.3846616586081001,0.5504616025534107,0.5495055570201715,0.6097802158932191
3162,600436.SH,2021-01-04,279.98,272.43,282.85,269.0,267.51,6.54100014,1581092993.0,5685370.0,1831.349219,0.8324271028545321,0.5182452838207369,0.5684947165390877,0.6709271666,0.5921888725499662,0.5345105607984696,0.5373823777365576,0.5520681162112459,6.54100014,0.6046918818200975,0.7204145421288691,0.5536265587707064,0.677654888967092,0.5745255732809225,0.5521386512177386
3162,600438.SH,2021-01-04,41.65,38.3,42.28,38.01,38.44,10.93068644,5261705697.0,129691074.0,455.2630902,0.5263212025452824,0.0804825403405909,0.0948446274146525,0.6533823517,0.576981372599967,0.4414071423494106,0.0736112133240875,0.0728566620974847,10.93068644,0.4981149276044473,0.8963319113810114,0.4706212422420504,0.8320106783277756,0.710284644153184,0.5887784246016183
3162,600519.SH,2021-01-04,1997.0,1999.98,2004.99,1983.81,1998.0,7.61053482,8686920261.0,4351400.0,15198.23804,0.9999999999999998,1.0,1.0,0.6632316319,0.6137631927499649,0.5356644557246683,1.0,1.0,7.61053482,0.5207190811255902,0.4873755665204018,0.4909819697851674,0.4724126046918459,0.7670182340592598,0.5769881520041789
3162,600570.SH,2021-01-04,106.17,105.93,107.47,104.2,104.9,24.39813235,1476688359.0,13887713.0,2590.349712,0.4982572574662142,0.2039962800836441,0.2502191739842874,0.5756602029,0.5653335395999677,0.3223277492897728,0.2154278768344038,0.2209912307633892,24.39813235,0.563501428497383,0.5797211885590944,0.4931161939761156,0.5282646635483979,0.5668340020860794,0.5452353846940903
3162,600585.SH,2021-01-04,52.28,51.7,52.43,51.31,51.62,4.75081451,1655911374.0,31900434.0,248.3725826,0.3756220644759533,0.1021174617783449,0.1520140580403591,0.4496033849999999,0.471215576954973,0.0757223522225651,0.1190774749718879,0.1247888191409754,4.75081451,0.5234383248851564,0.5412235960594677,0.4964349633736041,0.5312528428126428,0.5797331151904367,0.5819604075569055
3162,600588.SH,2021-01-04,45.71,44.0,46.23,44.0,43.87,55.10511401,1401227704.0,30794928.0,2518.854761,0.4009863533242591,0.0890625819426062,0.1276453585597205,0.5344618981,0.5442982565849689,0.1913297463672836,0.0968471354003434,0.1017504418496075,55.10511401,0.5303100772263236,0.7054267557548666,0.5408055223621727,0.6577158807565695,0.5609306404214714,0.5824775839478872
3162,600690.SH,2021-01-04,30.01,29.06,30.49,28.36,29.21,37.79947959,2899799944.0,97985525.0,1134.362382,0.4409496062269052,0.0550394554652114,0.0918451767190664,0.6100767481,0.5804301245999668,0.3970117398875353,0.0602433267167453,0.0603448025038812,37.79947959,0.4908073920019294,0.6630229583837057,0.380313167885144,0.595036912737228,0.6429373805351919,0.6060964847166508
3162,600809.SH,2021-01-04,373.63,375.29,387.0,370.21,375.29,4.42643201,3145664001.0,8324436.0,1653.847792,0.9999999999999998,0.7467243140897664,0.622359567047488,0.7604174975,0.5756802590999671,0.759976403729404,0.6735131082867701,0.6221883004207853,4.42643201,0.5158929310634822,0.6087975002415512,0.4588679886702047,0.4548904867553137,0.6521299190894876,0.5973003657016726
